,Infector,Infectee,Timestamp,Date
271,lil426,emg426,2024-09-23 21:00:23,2024-09-23
272,thm220,rjn226,2024-09-23 22:23:32,2024-09-23
273,ayk226,abd527,2024-09-23 22:45:01,2024-09-23
274,ayk226,lek227,2024-09-23 22:45:09,2024-09-23
275,ayk226,cra226,2024-09-23 22:45:16,2024-09-23
276,ayk226,oam227,2024-09-23 22:45:26,2024-09-23
277,ayk226,wad227,2024-09-23 22:45:33,2024-09-23
278,ayk226,brp328,2024-09-23 22:45:41,2024-09-23
279,ayk226,tow227,2024-09-23 22:45:53,2024-09-23
280,lil426,mas426,2024-09-23 22:47:02,2024-09-23
281,lil426,cks226,2024-09-23 22:47:19,2024-09-23
282,gmo227,mcw227,2024-09-23 23:05:55,2024-09-23
283,nep225,jpc425,2024-09-23 23:13:13,2024-09-23
284,ccb226,jlt326,2024-09-24 00:07:03,2024-09-24
285,lyv226,tjj226,2024-09-24 00:07:34,2024-09-24
286,nep225,bwl225,2024-09-24 01:20:46,2024-09-24
287,tym328,lpt228,2024-09-24 01:50:24,2024-09-24
288,cew226,aak226,2024-09-24 02:51:10,2024-09-24
289,cew226,crs226,2024-09-24 02:51:29,2024-09-24
290,cew226,alm627,2024-09-24 02:52:00,2024-09-24
291,cew226,mej427,2024-09-24 02:52:18,2024-09-24
292,cew226,abw327,2024-09-24 02:52:38,2024-09-24
293,cew226,blb227,2024-09-24 02:53:01,2024-09-24
294,cew226,msk227,2024-09-24 02:53:14,2024-09-24
295,cew226,msf227,2024-09-24 02:53:25,2024-09-24
296,cew226,cab327,2024-09-24 02:53:50,2024-09-24
297,cew226,kmy227,2024-09-24 02:54:04,2024-09-24
298,cew226,rll227,2024-09-24 02:54:20,2024-09-24
299,cew226,lln227,2024-09-24 02:54:31,2024-09-24
300,cew226,ead327,2024-09-24 02:54:42,2024-09-24
301,eng325,arb225,2024-09-24 13:51:14,2024-09-24
302,eng325,aen226,2024-09-24 13:51:32,2024-09-24
303,djm225,jes425,2024-09-24 13:51:50,2024-09-24
304,ahh226,lmt226,2024-09-24 18:31:59,2024-09-24
305,lil426,srk225,2024-09-24 18:41:50,2024-09-24
306,rof222,avb225,2024-09-24 19:52:06,2024-09-24
307,rof222,ckb225,2024-09-24 19:52:24,2024-09-24
308,rof222,ath223,2024-09-24 19:52:35,2024-09-24
309,rof222,cto225,2024-09-24 19:52:46,2024-09-24
310,rof222,hps227,2024-09-24 19:52:57,2024-09-24
311,rof222,aev225,2024-09-24 19:53:08,2024-09-24
312,lmt226,tjw227,2024-09-24 20:02:07,2024-09-24
313,djm225,keg222,2024-09-24 20:15:33,2024-09-24
314,rof222,juc422,2024-09-24 20:25:36,2024-09-24
315,thm220,faw319,2024-09-24 20:28:58,2024-09-24
316,nep225,pag225,2024-09-24 20:31:17,2024-09-24
317,pag225,isb325,2024-09-24 20:32:30,2024-09-24
318,djm225,rmm226,2024-09-24 20:42:54,2024-09-24
319,ahh226,bcr226,2024-09-24 21:50:21,2024-09-24
320,ahh226,kyc226,2024-09-24 21:53:27,2024-09-24
321,kaw225,jdm225,2024-09-24 22:16:27,2024-09-24
322,kaw225,rrl225,2024-09-24 22:16:52,2024-09-24
323,kaw225,bwf225,2024-09-24 22:17:49,2024-09-24
324,kpb321,crm523,2024-09-24 22:56:20,2024-09-24
325,lvg224,ami223,2024-09-24 23:27:13,2024-09-24
326,djm225,bcb223,2024-09-25 00:12:29,2024-09-25
327,cew226,aht326,2024-09-25 00:23:38,2024-09-25
328,cew226,amr726,2024-09-25 00:23:48,2024-09-25
329,cew226,dlf226,2024-09-25 00:24:09,2024-09-25
330,cew226,bec226,2024-09-25 00:24:19,2024-09-25
331,cew226,kac626,2024-09-25 00:24:37,2024-09-25
332,cew226,mrl526,2024-09-25 00:24:59,2024-09-25
333,cew226,abn226,2024-09-25 00:25:14,2024-09-25
334,chg325,jgm225,2024-09-25 01:54:12,2024-09-25
335,chg325,gbw225,2024-09-25 01:59:05,2024-09-25
336,lrb226,eak225,2024-09-25 02:05:13,2024-09-25
337,lrb226,grh325,2024-09-25 02:05:28,2024-09-25
338,lrb226,jig224,2024-09-25 02:05:48,2024-09-25
339,chg325,lep325,2024-09-25 02:33:22,2024-09-25
340,emg426,ryk226,2024-09-25 02:53:48,2024-09-25
341,emg426,mip226,2024-09-25 02:54:11,2024-09-25
342,lmt226,ktt326,2024-09-25 05:24:28,2024-09-25
343,ssr227,edj227,2024-09-25 16:03:02,2024-09-25
344,lrb226,vrw224,2024-09-25 17:50:17,2024-09-25
345,lrb226,kel823,2024-09-25 17:56:17,2024-09-25
346,kea226,jmw226,2024-09-25 17:57:10,2024-09-25
347,gms221,zil521,2024-09-25 21:00:59,2024-09-25
348,rac326,ehk227,2024-09-26 00:57:31,2024-09-26
349,mnl226,jcl326,2024-09-26 00:59:36,2024-09-26
350,mnl226,shu225,2024-09-26 01:05:28,2024-09-26
351,mnl226,luc225,2024-09-26 01:05:56,2024-09-26
