,Infector,Infectee,Timestamp,Date,Hour
192,jum520,erl424,2024-09-20T01:19:54.000,2024-09-20,2024-09-20 01
193,jum520,tek225,2024-09-20T01:20:00.000,2024-09-20,2024-09-20 01
194,jum520,gcp225,2024-09-20T01:26:35.000,2024-09-20,2024-09-20 01
195,jum520,kao225,2024-09-20T01:26:51.000,2024-09-20,2024-09-20 01
196,jum520,eng325,2024-09-20T02:35:42.000,2024-09-20,2024-09-20 02
197,jum520,rms425,2024-09-20T02:35:55.000,2024-09-20,2024-09-20 02
198,ahd326,ksb226,2024-09-20T04:26:46.000,2024-09-20,2024-09-20 04
199,ahd326,aeo226,2024-09-20T04:26:55.000,2024-09-20,2024-09-20 04
200,ahd326,ymw225,2024-09-20T04:27:06.000,2024-09-20,2024-09-20 04
201,ahd326,jbf226,2024-09-20T04:27:17.000,2024-09-20,2024-09-20 04
202,ahd326,jar526,2024-09-20T04:27:32.000,2024-09-20,2024-09-20 04
203,jum520,mip326,2024-09-20T13:54:14.000,2024-09-20,2024-09-20 13
204,thm220,rof222,2024-09-20T14:13:05.000,2024-09-20,2024-09-20 14
205,thm220,joh621,2024-09-20T14:13:14.000,2024-09-20,2024-09-20 14
206,thm220,mig321,2024-09-20T14:30:57.000,2024-09-20,2024-09-20 14
207,ers326,mpp226,2024-09-20T14:33:22.000,2024-09-20,2024-09-20 14
208,rof222,gms221,2024-09-20T14:46:19.000,2024-09-20,2024-09-20 14
209,gms221,oga225,2024-09-20T15:03:41.000,2024-09-20,2024-09-20 15
210,gms221,dmz3,2024-09-20T11:41:48.000,2024-09-20,2024-09-20 11
211,thm220,edg219,2024-09-20T16:02:53.000,2024-09-20,2024-09-20 16
212,thm220,jop520,2024-09-20T16:03:19.000,2024-09-20,2024-09-20 16
213,eeo224,tmv225,2024-09-20T16:13:46.000,2024-09-20,2024-09-20 16
214,gms221,rnw1,2024-09-20T16:55:21.000,2024-09-20,2024-09-20 16
215,gms221,ecb225,2024-09-20T16:56:03.000,2024-09-20,2024-09-20 16
216,rof222,tac228,2024-09-20T16:56:04.000,2024-09-20,2024-09-20 16
217,gms221,cmb225,2024-09-20T16:56:34.000,2024-09-20,2024-09-20 16
218,gms221,iam325,2024-09-20T17:07:44.000,2024-09-20,2024-09-20 17
219,gms221,los317,2024-09-20T17:07:52.000,2024-09-20,2024-09-20 17
220,des419,djf312,2024-09-20T17:25:20.000,2024-09-20,2024-09-20 17
221,gms221,scz225,2024-09-20T17:51:52.000,2024-09-20,2024-09-20 17
222,gms221,kjg525,2024-09-20T17:52:53.000,2024-09-20,2024-09-20 17
223,ers326,smu326,2024-09-20T19:41:01.000,2024-09-20,2024-09-20 19
224,ers326,dlb326,2024-09-20T19:41:22.000,2024-09-20,2024-09-20 19
225,ers326,wis426,2024-09-20T19:41:38.000,2024-09-20,2024-09-20 19
226,scz225,jzo225,2024-09-20T22:25:07.000,2024-09-20,2024-09-20 22
227,kaw225,trk422,2024-09-21T02:03:47.000,2024-09-21,2024-09-21 02
228,tym328,jel228,2024-09-21T05:48:14.000,2024-09-21,2024-09-21 05
229,kaw225,rjf324,2024-09-21T13:18:42.000,2024-09-21,2024-09-21 13
230,kaw225,jjh282,2024-09-21T14:06:01.000,2024-09-21,2024-09-21 14
231,ahd326,mer328,2024-09-21T14:07:06.000,2024-09-21,2024-09-21 14
232,kaw225,djm225,2024-09-21T17:10:09.000,2024-09-21,2024-09-21 17
233,djm225,jrc425,2024-09-21T22:02:16.000,2024-09-21,2024-09-21 22
234,mnl226,esr226,2024-09-22T17:45:02.000,2024-09-22,2024-09-22 17
235,nep225,nir226,2024-09-22T18:30:57.000,2024-09-22,2024-09-22 18
236,ahd326,jad626,2024-09-23T01:34:19.000,2024-09-23,2024-09-23 01
237,ahd326,bdk3,2024-09-23T14:47:24.000,2024-09-23,2024-09-23 14
238,jop520,ryg220,2024-09-23T15:39:19.000,2024-09-23,2024-09-23 15
239,jop520,djr524,2024-09-23T15:39:40.000,2024-09-23,2024-09-23 15
240,jop520,lmp222,2024-09-23T15:39:57.000,2024-09-23,2024-09-23 15
241,los317,chg325,2024-09-23T17:35:06.000,2024-09-23,2024-09-23 17
242,los317,art225,2024-09-23T17:35:24.000,2024-09-23,2024-09-23 17
243,los317,cok225,2024-09-23T17:35:41.000,2024-09-23,2024-09-23 17
244,los317,sar227,2024-09-23T17:36:01.000,2024-09-23,2024-09-23 17
245,gms221,jdd227,2024-09-23T17:46:51.000,2024-09-23,2024-09-23 17
246,gms221,mac225,2024-09-23T17:48:36.000,2024-09-23,2024-09-23 17
247,gms221,sph325,2024-09-23T17:48:41.000,2024-09-23,2024-09-23 17
248,gms221,alt225,2024-09-23T17:49:10.000,2024-09-23,2024-09-23 17
249,gms221,dit226,2024-09-23T17:49:28.000,2024-09-23,2024-09-23 17
250,gms221,elp227,2024-09-23T17:49:50.000,2024-09-23,2024-09-23 17
251,gms221,men224,2024-09-23T17:49:53.000,2024-09-23,2024-09-23 17
252,gms221,jaf526,2024-09-23T17:49:54.000,2024-09-23,2024-09-23 17
253,gms221,esh325,2024-09-23T17:50:28.000,2024-09-23,2024-09-23 17
254,gms221,gmo227,2024-09-23T17:50:29.000,2024-09-23,2024-09-23 17
255,gms221,gut225,2024-09-23T17:50:54.000,2024-09-23,2024-09-23 17
256,gms221,kat327,2024-09-23T17:50:55.000,2024-09-23,2024-09-23 17
257,gms221,sjs327,2024-09-23T17:51:06.000,2024-09-23,2024-09-23 17
258,gms221,slw227,2024-09-23T17:51:11.000,2024-09-23,2024-09-23 17
259,gms221,mab327,2024-09-23T17:51:38.000,2024-09-23,2024-09-23 17
260,gms221,mcj225,2024-09-23T17:52:08.000,2024-09-23,2024-09-23 17
261,gms221,emb525,2024-09-23T18:01:55.000,2024-09-23,2024-09-23 18
262,jum520,zjw226,2024-09-23T18:49:43.000,2024-09-23,2024-09-23 18
263,los317,jur225,2024-09-23T18:55:45.000,2024-09-23,2024-09-23 18
264,los317,ral219,2024-09-23T18:56:14.000,2024-09-23,2024-09-23 18
265,eaf327,mlt227,2024-09-23T19:30:46.000,2024-09-23,2024-09-23 19
266,lvg224,jms524,2024-09-23T19:32:26.000,2024-09-23,2024-09-23 19
267,lvg224,fmm324,2024-09-23T19:38:41.000,2024-09-23,2024-09-23 19
268,jms524,jem224,2024-09-23T20:08:27.000,2024-09-23,2024-09-23 20
269,ahh226,tcd226,2024-09-23T20:08:47.000,2024-09-23,2024-09-23 20
270,ahh226,sad823,2024-09-23T20:14:24.000,2024-09-23,2024-09-23 20
271,lil426,emg426,2024-09-23T21:00:23.000,2024-09-23,2024-09-23 21
272,thm220,rjn226,2024-09-23T22:23:32.000,2024-09-23,2024-09-23 22
273,ayk226,abd527,2024-09-23T22:45:01.000,2024-09-23,2024-09-23 22
274,ayk226,lek227,2024-09-23T22:45:09.000,2024-09-23,2024-09-23 22
275,ayk226,cra226,2024-09-23T22:45:16.000,2024-09-23,2024-09-23 22
276,ayk226,oam227,2024-09-23T22:45:26.000,2024-09-23,2024-09-23 22
277,ayk226,wad227,2024-09-23T22:45:33.000,2024-09-23,2024-09-23 22
278,ayk226,brp328,2024-09-23T22:45:41.000,2024-09-23,2024-09-23 22
279,ayk226,tow227,2024-09-23T22:45:53.000,2024-09-23,2024-09-23 22
280,lil426,mas426,2024-09-23T22:47:02.000,2024-09-23,2024-09-23 22
281,lil426,cks226,2024-09-23T22:47:19.000,2024-09-23,2024-09-23 22
282,gmo227,mcw227,2024-09-23T23:05:55.000,2024-09-23,2024-09-23 23
283,nep225,jpc425,2024-09-23T23:13:13.000,2024-09-23,2024-09-23 23
284,ccb226,jlt326,2024-09-24T00:07:03.000,2024-09-24,2024-09-24 00
285,lyv226,tjj226,2024-09-24T00:07:34.000,2024-09-24,2024-09-24 00
286,nep225,bwl225,2024-09-24T01:20:46.000,2024-09-24,2024-09-24 01
287,tym328,lpt228,2024-09-24T01:50:24.000,2024-09-24,2024-09-24 01
288,cew226,aak226,2024-09-24T02:51:10.000,2024-09-24,2024-09-24 02
289,cew226,crs226,2024-09-24T02:51:29.000,2024-09-24,2024-09-24 02
290,cew226,alm627,2024-09-24T02:52:00.000,2024-09-24,2024-09-24 02
291,cew226,mej427,2024-09-24T02:52:18.000,2024-09-24,2024-09-24 02
292,cew226,abw327,2024-09-24T02:52:38.000,2024-09-24,2024-09-24 02
293,cew226,blb227,2024-09-24T02:53:01.000,2024-09-24,2024-09-24 02
294,cew226,msk227,2024-09-24T02:53:14.000,2024-09-24,2024-09-24 02
